Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
425,Lincoln,140000,Gasoline,Automatic,Black,Other,None reported,Yes,2000,19,302.0,4.6,8.0
1054,Land,32705,Diesel,Automatic,Blue,Other,None reported,,46598,4,,,
3329,Chevrolet,104733,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,15000,15,320.0,5.3,8.0
556,Mazda,3880,Gasoline,Automatic,Grey,Black,None reported,Yes,52991,0,,2.5,
3025,Mercedes-Benz,64500,Gasoline,Automatic,Silver,Black,,,37500,10,577.0,5.5,8.0
2583,BMW,21000,Gasoline,Unknown,Blue,Black,Accident reported,Yes,42000,5,335.0,3.0,6.0
3550,Ford,92421,Diesel,Automatic,White,Brown,None reported,Yes,51900,9,440.0,6.7,8.0
3964,Porsche,2950,Gasoline,Automatic,Green,Black,None reported,Yes,131000,2,379.0,3.0,6.0
2704,Ford,82900,Gasoline,Automatic,White,Grey,Accident reported,Yes,16000,11,290.0,3.5,6.0
1193,GMC,230000,E85 Flex Fuel,Automatic,White,Black,None reported,Yes,15500,11,315.0,5.3,8.0
1716,Lexus,68871,Gasoline,Automatic,Silver,Red,None reported,Yes,28450,7,255.0,3.5,6.0
2711,Ford,53401,Gasoline,Automatic,Grey,Black,None reported,Yes,39500,4,375.0,3.5,6.0
3613,Mercedes-Benz,48700,Gasoline,Automatic,Blue,Brown,None reported,Yes,27900,6,241.0,2.0,4.0
3931,Mazda,11737,Gasoline,Automatic,Red,Other,None reported,Yes,33687,3,,2.5,
2464,Nissan,123500,Gasoline,Automatic,Grey,Other,Accident reported,Yes,13500,16,306.0,3.5,6.0
1285,Land,56000,Gasoline,Automatic,Black,Brown,None reported,Yes,49900,8,510.0,5.0,8.0
2498,Chevrolet,17300,Gasoline,Manual,Black,Black,None reported,Yes,33999,22,405.0,5.7,8.0
2741,Mercedes-Benz,90400,Gasoline,Automatic,Silver,Other,None reported,Yes,10199,17,335.0,4.7,8.0
3212,BMW,142000,Gasoline,Manual,Silver,Black,Accident reported,Yes,4800,21,184.0,2.5,6.0
2087,BMW,98200,Gasoline,Automatic,White,Black,None reported,Yes,27000,13,414.0,4.0,8.0
1889,Cadillac,222,Gasoline,Automatic,White,Black,None reported,Yes,69000,1,310.0,3.6,6.0
1591,Jeep,55000,Gasoline,Automatic,Red,Black,Accident reported,Yes,35000,13,202.0,3.8,6.0
3898,Dodge,145565,Gasoline,Automatic,Blue,Grey,Accident reported,Yes,4500,18,250.0,3.5,6.0
